Id,Label,timeset,farmacia,latitude,longitude,Zona,Farm
77,CRUZ VERDE,,INDEPENDENCIA,-33.419606,-70.663331,,CRUZ VERDE
78,CRUZ VERDE,,INDEPENDENCIA,-33.420034,-70.655933,,CRUZ VERDE
79,MAESTRE,,INDEPENDENCIA,-33.414275,-70.678147,,MAESTRE
80,NOVOA,,INDEPENDENCIA,-33.408777,-70.671801,,NOVOA
81,SANTA LAURA,,INDEPENDENCIA,-33.405615,-70.660912,,SANTA LAURA
82,VALLE DE VIDA,,INDEPENDENCIA,-33.407093,-70.660249,,VALLE DE VIDA
83,ECUANASER,,ISLA DE MAIPO,-33.745037,-70.864777,,ECUANASER
84,ECUANASER,,ISLA DE MAIPO,-33.754429,-70.900940,,ECUANASER
85,FARMAMARKET,,ISLA DE MAIPO,-33.756367,-70.896568,,FARMAMARKET
86,SALCOBRAND,,LA CISTERNA,-33.538005,-70.664369,,SALCOBRAND
87,AHUMADA,,LA CISTERNA,-33.538335,-70.663864,,AHUMADA
88,AHUMADA,,LA CISTERNA,-33.52358,-70.660504,,AHUMADA
89,BELEN,,LA CISTERNA,-33.5358487,-70.66409249999998,,BELEN
90,CRUZ VERDE,,LA CISTERNA,-33.538403,-70.664446,,CRUZ VERDE
91,DEL DR. SIMI,,LA CISTERNA,-33.5378,-70.663723,,DEL DR. SIMI
92,DEL DR. SIMI,,LA CISTERNA,-33.527418,-70.661756,,DEL DR. SIMI
93,MARTINEZ  ACUNA,,LA CISTERNA,-33.54348,-70.666708,,MARTINEZ  ACUNA
94,SALCOBRAND,,LA CISTERNA,-33.518528,-70.659275,,SALCOBRAND
95,MANRIQUEZ,,LA CISTERNA,-33.523955,-70.660611,,MANRIQUEZ
96,SALCOBRAND,,LA CISTERNA,-33.538229,-70.664881,,SALCOBRAND
97,AHUMADA,,LA FLORIDA,-33.511522,-70.590659,,AHUMADA
98,AHUMADA,,LA FLORIDA,-33.51988985915592,-70.59560333596801,,AHUMADA
99,AHUMADA,,LA FLORIDA,-33.516006,-70.5976,,AHUMADA
100,AHUMADA,,LA FLORIDA,-33.543243,-70.570288,,AHUMADA
101,AHUMADA,,LA FLORIDA,-33.535917,-70.555482,,AHUMADA
102,AHUMADA,,LA FLORIDA,-33.545723,-70.569232,,AHUMADA
103,AHUMADA,,LA FLORIDA,-33.510377,-70.608662,,AHUMADA
104,AHUMADA,,LA FLORIDA,-33.511162,-70.608098,,AHUMADA
105,AHUMADA,,LA FLORIDA,-33.515655,-70.606581,,AHUMADA
106,AHUMADA,,LA FLORIDA,-33.535135,-70.593341,,AHUMADA
107,AHUMADA,,LA FLORIDA,-33.543827,-70.58935,,AHUMADA
108,AHUMADA,,LA FLORIDA,-33.519608,-70.602804,,AHUMADA
109,AHUMADA,,LA FLORIDA,-33.522524,-70.579158,,AHUMADA
110,BELEN,,LA FLORIDA,-33.522497,-70.574622,,BELEN
111,C.A.,,LA FLORIDA,-33.539579,-70.603521,,C.A.
112,CRUZ VERDE,,LA FLORIDA,-33.522077,-70.597461,,CRUZ VERDE
113,CRUZ VERDE,,LA FLORIDA,-33.539606,-70.583173,,CRUZ VERDE
114,CRUZ VERDE,,LA FLORIDA,-33.539997,-70.571672,,CRUZ VERDE
115,CRUZ VERDE,,LA FLORIDA,-33.55396,-70.602718,,CRUZ VERDE
116,CRUZ VERDE,,LA FLORIDA,-33.534741,-70.554336,,CRUZ VERDE
117,CRUZ VERDE,,LA FLORIDA,-33.526927,-70.596404,,CRUZ VERDE
118,CRUZ VERDE,,LA FLORIDA,-33.553512,-70.586767,,CRUZ VERDE
119,CRUZ VERDE,,LA FLORIDA,-33.510715,-70.608632,,CRUZ VERDE
120,CRUZ VERDE,,LA FLORIDA,-33.51926,-70.600275,,CRUZ VERDE
121,CRUZ VERDE,,LA FLORIDA,-33.51926,-70.600275,,CRUZ VERDE
122,CRUZ VERDE,,LA FLORIDA,-33.546543,-70.588089,,CRUZ VERDE
123,CRUZ VERDE,,LA FLORIDA,-33.510449,-70.608448,,CRUZ VERDE
124,CRUZ VERDE,,LA FLORIDA,-33.522345,-70.579265,,CRUZ VERDE
125,DEL DR. SIMI,,LA FLORIDA,-33.521946,-70.579651,,DEL DR. SIMI
126,FARMA SUR,,LA FLORIDA,-33.560976,-70.610744,,FARMA SUR
127,JUMBO,,LA FLORIDA,-33.511162,-70.608098,,JUMBO
128,REDFARMA,,LA FLORIDA,-33.518724,-70.600416,,REDFARMA
129,REY FARMA,,LA FLORIDA,-33.557606,-70.59041,,REY FARMA
130,ROSARIO,,LA FLORIDA,-33.535457,-70.603641,,ROSARIO
131,ROTONDA  LA FLORIDA,,LA FLORIDA,-33.520682,-70.600015,,ROTONDA  LA FLORIDA
132,SU FARMA,,LA FLORIDA,-33.559242,-70.55976,,SU FARMA
133,SALCOBRAND,,LA FLORIDA,-33.547833,-70.568365,,SALCOBRAND
134,SALCOBRAND,,LA FLORIDA,-33.535564,-70.573944,,SALCOBRAND
135,SALCOBRAND,,LA FLORIDA,-33.560726,-70.585402,,SALCOBRAND
136,SALCOBRAND,,LA FLORIDA,-33.510688,-70.608514,,SALCOBRAND
137,SALCOBRAND,,LA FLORIDA,-33.514212,-70.608076,,SALCOBRAND
138,SALCOBRAND,,LA FLORIDA,-33.539481,-70.59156,,SALCOBRAND
139,CRUZ VERDE,,LA GRANJA,-33.550386,-70.617838,,CRUZ VERDE
140,LOS PALTOS,,LA GRANJA,-33.549518,-70.625259,,LOS PALTOS
141,LOS PALTOS,,LA GRANJA,-33.555958,-70.623943,,LOS PALTOS
142,ESPOZ,,LA GRANJA,-33.541513,-70.634116,,ESPOZ
143,CORDILLERA,,LA PINTANA,-33.556595,-70.645634,,CORDILLERA
144,CRUZ VERDE,,LA PINTANA,-33.605702,-70.626815,,CRUZ VERDE
145,FARMA SUR,,LA PINTANA,-33.581962,-70.657895,,FARMA SUR
146,SUR,,LA PINTANA,-33.556434,-70.645119,,SUR
147,SALCOBRAND,,LA PINTANA,-33.582752,-70.631836,,SALCOBRAND
148,AHUMADA,,LA REINA,-33.428451,-70.540534,,AHUMADA
149,AHUMADA,,LA REINA,-33.462165,-70.547272,,AHUMADA
150,AHUMADA,,LA REINA,-33.430313,-70.555769,,AHUMADA
151,AHUMADA,,LA REINA,-33.438801,-70.557014,,AHUMADA
152,AHUMADA,,LA REINA,-33.452498,-70.561026,,AHUMADA
153,LA REINA,,LA REINA,-33.451793,-70.555594,,LA REINA
154,SALCOBRAND,,LA REINA,-33.438685,-70.560922,,SALCOBRAND
155,SALCOBRAND,,LA REINA,-33.441254,-70.535856,,SALCOBRAND
156,AHUMADA,,LA REINA,-33.44052,-70.543281,,AHUMADA
157,CRUZ VERDE,,LA REINA,-33.441344,-70.536114,,CRUZ VERDE
158,CRUZ VERDE,,LO BARNECHEA,-33.356144,-70.51721,,CRUZ VERDE
159,SALCOBRAND,,LA REINA,-33.452677,-70.56197,,SALCOBRAND
160,SALCOBRAND,,LA REINA,-33.438908,-70.557142,,SALCOBRAND
161,SALCOBRAND,,LA REINA,-33.441182,-70.543302,,SALCOBRAND
162,BELEN,,LAMPA,-33.231773,-70.807404,,BELEN
163,BELEN,,LAMPA,-33.287867,-70.871476,,BELEN
164,LETICIA,,LAMPA,-33.284891,-70.877341,,LETICIA
165,SU FARMACIA S.A.,,LAMPA,-33.294326,-70.867519,,SU FARMACIA S.A.
166,SALCOBRAND,,LAMPA,-33.324002,-70.745991,,SALCOBRAND
167,SALCOBRAND,,LAS CONDES,-33.425986,-70.577036,,SALCOBRAND
168,SALCOBRAND,,LAS CONDES,-33.416492,-70.595146,,SALCOBRAND
169,SALCOBRAND,,LAS CONDES,-33.41278,-70.581016,,SALCOBRAND
170,SALCOBRAND,,LAS CONDES,-33.410738,-70.573879,,SALCOBRAND
171,SALCOBRAND,,LAS CONDES,-33.409386,-70.569378,,SALCOBRAND
172,SALCOBRAND,,LAS CONDES,-33.423788,-70.580627,,SALCOBRAND
173,SALCOBRAND,,LAS CONDES,-33.416613,-70.565058,,SALCOBRAND
174,SALCOBRAND,,LAS CONDES,-33.418207,-70.552336,,SALCOBRAND
175,SALCOBRAND,,LAS CONDES,-33.416469,-70.554331,,SALCOBRAND
176,AHUMADA,,LAS CONDES,-33.384242,-70.533968,,AHUMADA
177,AHUMADA,,LAS CONDES,-33.395619,-70.549053,,AHUMADA
178,AHUMADA,,LAS CONDES,-33.401531,-70.56049,,AHUMADA
179,AHUMADA,,LAS CONDES,-33.386052,-70.531178,,AHUMADA
180,AHUMADA,,LAS CONDES,-33.424932,-70.550758,,AHUMADA
181,AHUMADA,,LAS CONDES,-33.400958,-70.514375,,AHUMADA
182,AHUMADA,,LAS CONDES,-33.401253,-70.517153,,AHUMADA
183,AHUMADA,,LAS CONDES,-33.401145,-70.514333,,AHUMADA
184,AHUMADA,,LAS CONDES,-33.41878,-70.572098,,AHUMADA
185,AHUMADA,,LAS CONDES,-33.376502,-70.525642,,AHUMADA
186,CRUZ VERDE,,LAS CONDES,-33.423851,-70.578522,,CRUZ VERDE
187,CRUZ VERDE,,LAS CONDES,-33.416089,-70.593258,,CRUZ VERDE
188,CRUZ VERDE,,LAS CONDES,-33.409177,-70.567914,,CRUZ VERDE
189,CRUZ VERDE,,LAS CONDES,-33.408266,-70.553483,,CRUZ VERDE
190,CRUZ VERDE,,LAS CONDES,-33.401262,-70.523223,,CRUZ VERDE
191,CRUZ VERDE,,LAS CONDES,-33.41668,-70.564999,,CRUZ VERDE
192,CRUZ VERDE,,LAS CONDES,-33.43126,-70.578745,,CRUZ VERDE
193,CRUZ VERDE,,LAS CONDES,-33.428769,-70.540587,,CRUZ VERDE
194,CRUZ VERDE,,LAS CONDES,-33.384402,-70.529446,,CRUZ VERDE
195,CRUZ VERDE,,LAS CONDES,-33.417584,-70.552786,,CRUZ VERDE
196,CRUZ VERDE,,LAS CONDES,-33.401473,-70.560305,,CRUZ VERDE
197,CRUZ VERDE,,LAS CONDES,-33.401871,-70.580534,,CRUZ VERDE
198,CRUZ VERDE,,LAS CONDES,-33.388784,-70.545276,,CRUZ VERDE
199,CRUZ VERDE,,LAS CONDES,-33.388784,-70.545276,,CRUZ VERDE
200,CRUZ VERDE,,LAS CONDES,-33.388793,-70.545233,,CRUZ VERDE
201,DEL DR. SIMI,,LAS CONDES,-33.413942,-70.583546,,DEL DR. SIMI
202,LA DEHESA,,LO BARNECHEA,-33.351513,-70.510453,,LA DEHESA
203,SALCOBRAND,,LAS CONDES,-33.423777,-70.538633,,SALCOBRAND
204,SALCOBRAND,,LAS CONDES,-33.431271,-70.578737,,SALCOBRAND
205,SALCOBRAND,,LAS CONDES,-33.428728,-70.540595,,SALCOBRAND
206,SALCOBRAND,,LAS CONDES,-33.390101,-70.49899,,SALCOBRAND
207,SALCOBRAND,,LAS CONDES,-33.373666,-70.519669,,SALCOBRAND
208,SALCOBRAND,,LAS CONDES,-33.367972,-70.500964,,SALCOBRAND
209,SALCOBRAND,,LAS CONDES,-33.398228,-70.551397,,SALCOBRAND
210,SALCOBRAND,,LAS CONDES,-33.392287,-70.514933,,SALCOBRAND
211,SALCOBRAND,,LAS CONDES,-33.405257,-70.568665,,SALCOBRAND
212,SALCOBRAND,,LAS CONDES,-33.40377,-70.569,,SALCOBRAND
213,SALCOBRAND,,LAS CONDES,-33.4245,-70.592566,,SALCOBRAND
214,SALCOBRAND,,LAS CONDES,-33.41604,-70.539075,,SALCOBRAND
215,SALCOBRAND,,LAS CONDES,-33.409332,-70.544350,,SALCOBRAND
216,SALCOBRAND,,LAS CONDES,-33.38882,-70.545284,,SALCOBRAND
217,SALCOBRAND,,LAS CONDES,-33.408472,-70.551813,,SALCOBRAND
218,SALCOBRAND,,LAS CONDES,-33.394043,-70.545963,,SALCOBRAND
219,SALCOBRAND,,LO BARNECHEA,-33.358348,-70.517145,,SALCOBRAND
220,AHUMADA,,LO BARNECHEA,-33.344178,-70.544609,,AHUMADA
221,AHUMADA,,LO BARNECHEA,-33.353025,-70.520621,,AHUMADA
222,AHUMADA,,LO BARNECHEA,-33.362883,-70.514956,,AHUMADA
223,CRUZ VERDE,,LO BARNECHEA,-33.355517,-70.537916,,CRUZ VERDE
224,CRUZ VERDE,,LO BARNECHEA,-33.358008,-70.517016,,CRUZ VERDE
225,VITA,,LO BARNECHEA,-33.357631,-70.506598,,VITA
226,SALCOBRAND,,LO BARNECHEA,-33.35221,-70.518806,,SALCOBRAND
227,SALCOBRAND,,LO BARNECHEA,-33.351484,-70.510665,,SALCOBRAND
228,SALCOBRAND,,LO BARNECHEA,-33.355194,-70.532187,,SALCOBRAND
229,FARMAR,,LO ESPEJO,-33.506327,-70.69199,,FARMAR
230,LA FE,,LO ESPEJO,-33.519716,-70.69593,,LA FE
231,L-V,,LO ESPEJO,-33.508946,-70.686296,,L-V
232,AHUMADA,,LO PRADO,-33.444907,-70.723416,,AHUMADA
233,CRUZ VERDE,,LO PRADO,-33.457708,-70.711831,,CRUZ VERDE
234,CRUZ VERDE,,LO PRADO,-33.456902,-70.705629,,CRUZ VERDE
235,LAS ROSAS,,LO PRADO,-33.45717,-70.705887,,LAS ROSAS
236,SALCOBRAND,,LO PRADO,-33.457153,-70.706123,,SALCOBRAND
237,SALCOBRAND,,LO PRADO,-33.444083,-70.722624,,SALCOBRAND
238,SALCOBRAND,,MACUL,-33.485628,-70.599306,,SALCOBRAND
239,AHUMADA,,MACUL,-33.474337,-70.598792,,AHUMADA
240,AHUMADA,,MACUL,-33.477933,-70.599040,,AHUMADA
241,AHUMADA,,MACUL,-33.491661,-70.617414,,AHUMADA
242,CRUZ VERDE,,MACUL,-33.480686,-70.599312,,CRUZ VERDE
243,CRUZ VERDE,,MACUL,-33.491518,-70.599723,,CRUZ VERDE
244,DEL DR. SIMI,,MACUL,-33.485057,-70.599336,,DEL DR. SIMI
245,SALCOBRAND,,MAIPU,-33.510502,-70.757643,,SALCOBRAND
246,SALCOBRAND,,MAIPU,-33.481847,-70.753649,,SALCOBRAND
247,SALCOBRAND,,MAIPU,-33.481149,-70.754035,,SALCOBRAND
248,SALCOBRAND,,MAIPU,-33.542137,-70.771024,,SALCOBRAND
249,AHUMADA,,MAIPU,-33.560708,-70.780705,,AHUMADA
250,AHUMADA,,MAIPU,-33.481847,-70.753649,,AHUMADA
251,AHUMADA,,MAIPU,-33.510738,-70.757381,,AHUMADA
252,AHUMADA,,MAIPU,-33.50288,-70.757278,,AHUMADA
253,AHUMADA,,MAIPU,-33.481442,-70.745228,,AHUMADA
254,AHUMADA,,MAIPU,-33.506046,-70.757480,,AHUMADA
255,AHUMADA,,MAIPU,-33.531558,-70.775088,,AHUMADA
256,ALMENDRA,,MAIPU,-33.489442,-70.774272,,ALMENDRA
257,BELEN,,MAIPU,-33.507479,-70.784079,,BELEN
258,BELEN,,MAIPU,-33.488435,-70.742558,,BELEN
259,APOTHEKE,,MAIPU,-33.51232,-70.775493,,APOTHEKE
260,CRUZ VERDE,,MAIPU,-33.559993,-70.7844,,CRUZ VERDE
261,CRUZ VERDE,,MAIPU,-33.531915,-70.775603,,CRUZ VERDE
262,CRUZ VERDE,,MAIPU,-33.481847,-70.753649,,CRUZ VERDE
263,CRUZ VERDE,,MAIPU,-33.480565,-70.754106,,CRUZ VERDE
264,CRUZ VERDE,,MAIPU,-33.471974,-70.759642,,CRUZ VERDE
265,CRUZ VERDE,,MAIPU,-33.513669,-70.826522,,CRUZ VERDE
266,CRUZ VERDE,,MAIPU,-33.496314,-70.757549,,CRUZ VERDE
267,CRUZ VERDE,,MAIPU,-33.506799,-70.757471,,CRUZ VERDE
268,CRUZ VERDE,,MAIPU,-33.554432,-70.795816,,CRUZ VERDE
269,CRUZ VERDE,,LA REINA,-33.4398441,-70.55565960000001,,CRUZ VERDE
270,DEL PARQUE,,MAIPU,-33.558795,-70.789529,,DEL PARQUE
271,ECONOFARMA,,MAIPU,-33.489639,-70.766376,,ECONOFARMA
272,EXPRESS,,MAIPU,-33.528159,-70.767318,,EXPRESS
273,MEBAL,,MAIPU,-33.510064,-70.775509,,MEBAL
274,MEVIC,,MAIPU,-33.52235,-70.796797,,MEVIC
275,MEVIC,,MAIPU,-33.542754,-70.777843,,MEVIC
276,VIDA SALUD,,MAIPU,-33.513329,-70.756999,,VIDA SALUD
277,SU FARMACIA,,MAIPU,-33.501216,-70.741035,,SU FARMACIA
278,NETFARMA,,MAIPU,-33.495531,-70.736547,,NETFARMA
279,AHUMADA,,MELIPILLA,-33.68064,-71.208747,,AHUMADA
280,CRUZ VERDE,,MELIPILLA,-33.686111,-71.214668,,CRUZ VERDE
281,CRUZ VERDE,,MELIPILLA,-33.684917,-71.213814,,CRUZ VERDE
282,EKONOFARMA,,MELIPILLA,-33.685574,-71.215179,,EKONOFARMA
283,REDONDO,,MELIPILLA,-33.690830,-71.215614,,REDONDO
284,SERRANO,,MELIPILLA,-33.691460,-71.215843,,SERRANO
285,SALCOBRAND,,MELIPILLA,-33.686211,-71.213768,,SALCOBRAND
286,SALCOBRAND,,MELIPILLA,-33.686588,-71.215347,,SALCOBRAND
287,AHUMADA,,NUNOA,-33.450135,-70.621558,,AHUMADA
288,AHUMADA,,NUNOA,-33.465888,-70.588277,,AHUMADA
289,SALCOBRAND,,NUNOA,-33.446473,-70.611272,,SALCOBRAND
290,SALCOBRAND,,NUNOA,-33.455188,-70.609099,,SALCOBRAND
291,SALCOBRAND,,NUNOA,-33.449477,-70.597856,,SALCOBRAND
292,SALCOBRAND,,NUNOA,-33.455452,-70.586945,,SALCOBRAND
293,SALCOBRAND,,NUNOA,-33.456271,-70.613901,,SALCOBRAND
294,SALCOBRAND,,NUNOA,-33.464984,-70.598226,,SALCOBRAND
295,AHUMADA,,NUNOA,-33.455027,-70.60908,,AHUMADA
296,AHUMADA,,NUNOA,-33.455309,-70.627108,,AHUMADA
297,AHUMADA,,NUNOA,-33.454507,-70.600608,,AHUMADA
298,AHUMADA,,NUNOA,-33.445605,-70.606138,,AHUMADA
299,AHUMADA,,NUNOA,-33.448273,-70.580555,,AHUMADA
300,AHUMADA,,NUNOA,-33.447789,-70.597547,,AHUMADA
301,CRUZ VERDE,,NUNOA,-33.448329,-70.610647,,CRUZ VERDE
302,CRUZ VERDE,,NUNOA,-33.448564,-70.580705,,CRUZ VERDE
303,CRUZ VERDE,,NUNOA,-33.455765,-70.626106,,CRUZ VERDE
304,CRUZ VERDE,,NUNOA,-33.453053,-70.615452,,CRUZ VERDE
305,CRUZ VERDE,,NUNOA,-33.454342,-70.602297,,CRUZ VERDE
306,CRUZ VERDE,,NUNOA,-33.455219,-70.593017,,CRUZ VERDE
307,CRUZ VERDE,,NUNOA,-33.454494,-70.579021,,CRUZ VERDE
308,CRUZ VERDE,,NUNOA,-33.465302,-70.598239,,CRUZ VERDE
309,CRUZ VERDE,,NUNOA,-33.45816,-70.598017,,CRUZ VERDE
310,CRUZ VERDE,,NUNOA,-33.442758,-70.572611,,CRUZ VERDE
311,CRUZ VERDE,,NUNOA,-33.445565,-70.606112,,CRUZ VERDE
312,CRUZ VERDE,,NUNOA,-33.455649,-70.605221,,CRUZ VERDE
313,CRUZ VERDE,,NUNOA,-33.434033,-70.582342,,CRUZ VERDE
314,INSTITUCIONAL,,NUNOA,-33.453256,-70.591758,,INSTITUCIONAL
315,REDOXX,,NUNOA,-33.462935,-70.620185,,REDOXX
316,SALCOBRAND,,NUNOA,-33.454772,-70.627526,,SALCOBRAND
317,SANTA  GEMITA,,NUNOA,-33.454762,-70.599854,,SANTA  GEMITA
318,SALCOBRAND,,NUNOA,-33.448165,-70.600672,,SALCOBRAND
319,SAN JUAN,,PADRE HURTADO,-33.569701,-70.815772,,SAN JUAN
320,FARMAMARKET,,PADRE HURTADO,-33.568003,-70.808887,,FARMAMARKET
321,CRUZ VERDE,,PAINE,-33.813498,-70.743019,,CRUZ VERDE
322,PLAZA PAINE,,PAINE,-33.809498,-70.738717,,PLAZA PAINE
323,CRUZ VERDE,,PEDRO AGUIRRE CERDA,-33.478816,-70.663113,,CRUZ VERDE
324,CRUZ VERDE,,PEDRO AGUIRRE CERDA,-33.502505,-70.667851,,CRUZ VERDE
325,IDAHUE,,PEDRO AGUIRRE CERDA,-33.478489,-70.672005,,IDAHUE
326,LA BOTIKA,,PEDRO AGUIRRE CERDA,-33.502397,-70.690115,,LA BOTIKA
327,FARMA-MARKET,,PENAFLOR,-33.610554,-70.873439,,FARMA-MARKET
328,AHUMADA,,PENAFLOR,-33.607203,-70.899843,,AHUMADA
329,CRUZ VERDE,,PENAFLOR,-33.606915,-70.854744,,CRUZ VERDE
330,CRUZ VERDE,,PENAFLOR,-33.61071,-70.880887,,CRUZ VERDE
331,CRUZ VERDE,,PENAFLOR,-33.60872,-70.900199,,CRUZ VERDE
332,CRUZ VERDE,,PENAFLOR,-33.607217,-70.899797,,CRUZ VERDE
333,MALLOCO,,PENAFLOR,-33.604735,-70.852638,,MALLOCO
334,SAN JUAN,,PENAFLOR,-33.609133,-70.900701,,SAN JUAN
335,SALCOBRAND,,PENALOLEN,-33.479232,-70.545225,,SALCOBRAND
336,SALCOBRAND,,PENALOLEN,-33.468936,-70.575921,,SALCOBRAND
337,SALCOBRAND,,PENALOLEN,-33.486668,-70.579823,,SALCOBRAND
338,AHUMADA,,PENALOLEN,-33.484731,-70.579397,,AHUMADA
339,AHUMADA,,PENALOLEN,-33.487957,-70.54916,,AHUMADA
340,AHUMADA,,PENALOLEN,-33.486444,-70.557757,,AHUMADA
