Source,Target,Type,Id,Label,timeset,Weight
154,LA REINA,Directed,866,,,1
155,LA REINA,Directed,867,,,1
156,LA REINA,Directed,868,,,1
157,LA REINA,Directed,869,,,1
158,LO BARNECHEA,Directed,870,,,1
159,LA REINA,Directed,871,,,1
160,LA REINA,Directed,872,,,1
161,LA REINA,Directed,873,,,1
162,LAMPA,Directed,874,,,1
163,LAMPA,Directed,875,,,1
164,LAMPA,Directed,876,,,1
165,LAMPA,Directed,877,,,1
166,LAMPA,Directed,878,,,1
167,LAS CONDES,Directed,879,,,1
168,LAS CONDES,Directed,880,,,1
169,LAS CONDES,Directed,881,,,1
170,LAS CONDES,Directed,882,,,1
171,LAS CONDES,Directed,883,,,1
172,LAS CONDES,Directed,884,,,1
173,LAS CONDES,Directed,885,,,1
174,LAS CONDES,Directed,886,,,1
175,LAS CONDES,Directed,887,,,1
176,LAS CONDES,Directed,888,,,1
177,LAS CONDES,Directed,889,,,1
178,LAS CONDES,Directed,890,,,1
179,LAS CONDES,Directed,891,,,1
180,LAS CONDES,Directed,892,,,1
181,LAS CONDES,Directed,893,,,1
182,LAS CONDES,Directed,894,,,1
183,LAS CONDES,Directed,895,,,1
184,LAS CONDES,Directed,896,,,1
185,LAS CONDES,Directed,897,,,1
186,LAS CONDES,Directed,898,,,1
187,LAS CONDES,Directed,899,,,1
188,LAS CONDES,Directed,900,,,1
189,LAS CONDES,Directed,901,,,1
190,LAS CONDES,Directed,902,,,1
191,LAS CONDES,Directed,903,,,1
192,LAS CONDES,Directed,904,,,1
193,LAS CONDES,Directed,905,,,1
194,LAS CONDES,Directed,906,,,1
195,LAS CONDES,Directed,907,,,1
196,LAS CONDES,Directed,908,,,1
197,LAS CONDES,Directed,909,,,1
198,LAS CONDES,Directed,910,,,1
199,LAS CONDES,Directed,911,,,1
200,LAS CONDES,Directed,912,,,1
201,LAS CONDES,Directed,913,,,1
202,LO BARNECHEA,Directed,914,,,1
203,LAS CONDES,Directed,915,,,1
204,LAS CONDES,Directed,916,,,1
205,LAS CONDES,Directed,917,,,1
206,LAS CONDES,Directed,918,,,1
207,LAS CONDES,Directed,919,,,1
208,LAS CONDES,Directed,920,,,1
209,LAS CONDES,Directed,921,,,1
210,LAS CONDES,Directed,922,,,1
211,LAS CONDES,Directed,923,,,1
212,LAS CONDES,Directed,924,,,1
213,LAS CONDES,Directed,925,,,1
214,LAS CONDES,Directed,926,,,1
215,LAS CONDES,Directed,927,,,1
216,LAS CONDES,Directed,928,,,1
217,LAS CONDES,Directed,929,,,1
218,LAS CONDES,Directed,930,,,1
219,LO BARNECHEA,Directed,931,,,1
220,LO BARNECHEA,Directed,932,,,1
221,LO BARNECHEA,Directed,933,,,1
222,LO BARNECHEA,Directed,934,,,1
223,LO BARNECHEA,Directed,935,,,1
224,LO BARNECHEA,Directed,936,,,1
225,LO BARNECHEA,Directed,937,,,1
226,LO BARNECHEA,Directed,938,,,1
227,LO BARNECHEA,Directed,939,,,1
228,LO BARNECHEA,Directed,940,,,1
229,LO ESPEJO,Directed,941,,,1
230,LO ESPEJO,Directed,942,,,1
231,LO ESPEJO,Directed,943,,,1
232,LO PRADO,Directed,944,,,1
233,LO PRADO,Directed,945,,,1
234,LO PRADO,Directed,946,,,1
235,LO PRADO,Directed,947,,,1
236,LO PRADO,Directed,948,,,1
237,LO PRADO,Directed,949,,,1
238,MACUL,Directed,950,,,1
239,MACUL,Directed,951,,,1
240,MACUL,Directed,952,,,1
241,MACUL,Directed,953,,,1
242,MACUL,Directed,954,,,1
243,MACUL,Directed,955,,,1
244,MACUL,Directed,956,,,1
245,MAIPU,Directed,957,,,1
246,MAIPU,Directed,958,,,1
247,MAIPU,Directed,959,,,1
248,MAIPU,Directed,960,,,1
249,MAIPU,Directed,961,,,1
250,MAIPU,Directed,962,,,1
251,MAIPU,Directed,963,,,1
252,MAIPU,Directed,964,,,1
253,MAIPU,Directed,965,,,1
254,MAIPU,Directed,966,,,1
255,MAIPU,Directed,967,,,1
256,MAIPU,Directed,968,,,1
257,MAIPU,Directed,969,,,1
258,MAIPU,Directed,970,,,1
259,MAIPU,Directed,971,,,1
260,MAIPU,Directed,972,,,1
261,MAIPU,Directed,973,,,1
262,MAIPU,Directed,974,,,1
263,MAIPU,Directed,975,,,1
264,MAIPU,Directed,976,,,1
265,MAIPU,Directed,977,,,1
266,MAIPU,Directed,978,,,1
267,MAIPU,Directed,979,,,1
268,MAIPU,Directed,980,,,1
269,LA REINA,Directed,981,,,1
270,MAIPU,Directed,982,,,1
271,MAIPU,Directed,983,,,1
272,MAIPU,Directed,984,,,1
