Id,Label,timeset,farmacia,latitude,longitude,NOmbre,comune,weighted indegree,weighted outdegree,weighted degree,indegree,outdegree,degree,Authority,Hub,pageranks,clustering,triangles
50,SALCOBRAND,,EL BOSQUE,33.545401,-70.668164,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000765,0,0
51,AHUMADA,,ESTACION CENTRAL,33.457041,-70.70509,AHUMADA,,0,1,1,0,1,1,0,0,0.000744,0,0
52,AHUMADA,,ESTACION CENTRAL,33.452695,-70.69151,AHUMADA,,0,1,1,0,1,1,0,0,0.000744,0,0
53,BELGO CHILENA,,ESTACION CENTRAL,33.45393,-70.687752,BELGO CHILENA,,0,1,1,0,1,1,0,0,0.000744,0,0
54,CARRERA,,ESTACION CENTRAL,33.471008,-70.692411,CARRERA,,0,1,1,0,1,1,0,0,0.000744,0,0
55,CRUZ VERDE,,ESTACION CENTRAL,33.451139,-70.679883,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000744,0,0
56,CRUZ VERDE,,ESTACION CENTRAL,33.453339,-70.687819,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000744,0,0
57,CRUZ VERDE,,ESTACION CENTRAL,33.467564,-70.729965,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000744,0,0
58,CRUZ VERDE,,ESTACION CENTRAL,33.453006,-70.680365,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000744,0,0
59,DEL DR. SIMI,,ESTACION CENTRAL,33.454199,-70.692347,DEL DR. SIMI,,0,1,1,0,1,1,0,0,0.000744,0,0
60,ELENA,,ESTACION CENTRAL,33.465727,-70.708569,ELENA,,0,1,1,0,1,1,0,0,0.000744,0,0
61,PURA SALUD,,ESTACION CENTRAL,33.461825,-70.698417,PURA SALUD,,0,1,1,0,1,1,0,0,0.000744,0,0
62,SALCOBRAND,,ESTACION CENTRAL,33.450755,-70.679185,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000744,0,0
63,SALCOBRAND,,ESTACION CENTRAL,33.451979,-70.682283,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000744,0,0
64,SALCOBRAND,,ESTACION CENTRAL,33.453151,-70.687245,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000744,0,0
65,SALCOBRAND,,ESTACION CENTRAL,33.453167,-70.68039,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000744,0,0
66,SALCOBRAND,,ESTACION CENTRAL,33.451101,-70.679644,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000744,0,0
67,SALCOBRAND,,HUECHURABA,33.368062,-70.678301,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000761,0,0
68,SALCOBRAND,,HUECHURABA,33.368062,-70.678301,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000761,0,0
69,AHUMADA,,HUECHURABA,33.368062,-70.678301,AHUMADA,,0,1,1,0,1,1,0,0,0.000761,0,0
70,AHUMADA,,HUECHURABA,33.351179,-70.670396,AHUMADA,,0,1,1,0,1,1,0,0,0.000761,0,0
71,CRUZ VERDE,,HUECHURABA,33.36799,-70.678378,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000761,0,0
72,CRUZ VERDE,,HUECHURABA,33.347738,-70.670353,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000761,0,0
73,FARMAVIDA,,HUECHURABA,33.376326,-70.637787,FARMAVIDA,,0,1,1,0,1,1,0,0,0.000761,0,0
74,SALCOBRAND,,HUECHURABA,33.348222,-70.670417,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000761,0,0
75,MEDDICA,,INDEPENDENCIA,33.41751,-70.656496,MEDDICA,,0,1,1,0,1,1,0,0,0.000771,0,0
76,CRUZ VERDE,,INDEPENDENCIA,33.406802,-70.660646,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000771,0,0
77,CRUZ VERDE,,INDEPENDENCIA,33.419606,-70.663331,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000771,0,0
78,CRUZ VERDE,,INDEPENDENCIA,33.420034,-70.655933,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000771,0,0
79,MAESTRE,,INDEPENDENCIA,33.414275,-70.678147,MAESTRE,,0,1,1,0,1,1,0,0,0.000771,0,0
80,NOVOA,,INDEPENDENCIA,33.408777,-70.671801,NOVOA,,0,1,1,0,1,1,0,0,0.000771,0,0
