,id,latitude,longitude,label
327,FARMA-MARKET,-33.610554,-70.873439,PENAFLOR
328,AHUMADA,-33.607203,-70.899843,PENAFLOR
329,CRUZ VERDE,-33.606915,-70.854744,PENAFLOR
330,CRUZ VERDE,-33.61071,-70.880887,PENAFLOR
331,CRUZ VERDE ,-33.60872,-70.900199,PENAFLOR
332,CRUZ VERDE ,-33.607217,-70.899797,PENAFLOR
333,MALLOCO,-33.604735,-70.852638,PENAFLOR
334,SAN JUAN,-33.609133,-70.900701,PENAFLOR
335,SALCOBRAND,-33.479232,-70.545225,PENALOLEN
336,SALCOBRAND,-33.468936,-70.575921,PENALOLEN
337,SALCOBRAND,-33.486668,-70.579823,PENALOLEN
338,AHUMADA,-33.484731,-70.579397,PENALOLEN
339,AHUMADA,-33.487957,-70.54916,PENALOLEN
340,AHUMADA,-33.486444,-70.557757,PENALOLEN
341,AHUMADA ,-33.484198,-70.558365,PENALOLEN
342,BELEN,-33.506258,-70.579184,PENALOLEN
343,CRUZ VERDE,-33.485825,-70.579606,PENALOLEN
344,CRUZ VERDE,-33.475988,-70.54338,PENALOLEN
345,CRUZ VERDE,-33.4864,-70.557735,PENALOLEN
346,CRUZ VERDE,-33.486668,-70.579823,PENALOLEN
347,CRUZ VERDE,-33.472261,-70.55461,PENALOLEN
348,CRUZ VERDE,-33.483805,-70.547014,PENALOLEN
349,DEL DR. SIMI ,-33.4714531,-70.54151389999998,PENALOLEN
350,DEL DR. SIMI ,-33.469629,-70.574566,PENALOLEN
351,DEL DR. SIMI ,-33.502822,-70.561093,PENALOLEN
352,EL VALLE,-33.476053,-70.573552,PENALOLEN
353,MEDDICA,-33.472427,-70.538437,PENALOLEN
354,GENNETIKA,-33.472340,-70.538712,PENALOLEN
355,GALLARDO,-33.477724,-70.572401,PENALOLEN
356,LA BOTIKA,-33.507497,-70.568472,PENALOLEN
357,SALCOBRAND,-33.487541,-70.558636,PENALOLEN
358,SALCOBRAND ,-33.489299,-70.549871,PENALOLEN
359,SALCOBRAND,-33.634483,-70.570314,PIRQUE
360,SALCOBRAND,-33.429187,-70.61886,PROVIDENCIA
361,SALCOBRAND,-33.417618,-70.608246,PROVIDENCIA
362,SALCOBRAND,-33.430206,-70.60277,PROVIDENCIA
363,SALCOBRAND,-33.438335,-70.615679,PROVIDENCIA
364,AHUMADA,-33.417669,-70.608276,PROVIDENCIA
365,AHUMADA,-33.436607,-70.599068,PROVIDENCIA
366,AHUMADA,-33.431701,-70.583823,PROVIDENCIA
367,AHUMADA,-33.429951,-70.602705,PROVIDENCIA
