"","Id","Label","timeset","farmacia","latitude","longitude","Zona","Farm","columna1"
"58","58","CRUZ VERDE",NA,"ESTACION CENTRAL",-33.453006,-70.680365,"","CRUZ VERDE","CRUZ VERDE"
"59","59","DEL DR. SIMI",NA,"ESTACION CENTRAL",-33.454199,-70.692347,"","DEL DR. SIMI","OTRO"
"60","60","ELENA",NA,"ESTACION CENTRAL",-33.465727,-70.708569,"","ELENA","OTRO"
"61","61","PURA SALUD",NA,"ESTACION CENTRAL",-33.461825,-70.698417,"","PURA SALUD","OTRO"
"62","62","SALCOBRAND",NA,"ESTACION CENTRAL",-33.450755,-70.679185,"","SALCOBRAND","SALCOBRAND"
"63","63","SALCOBRAND",NA,"ESTACION CENTRAL",-33.451979,-70.682283,"","SALCOBRAND","SALCOBRAND"
"64","64","SALCOBRAND",NA,"ESTACION CENTRAL",-33.453151,-70.687245,"","SALCOBRAND","SALCOBRAND"
"65","65","SALCOBRAND",NA,"ESTACION CENTRAL",-33.453167,-70.68039,"","SALCOBRAND","SALCOBRAND"
"66","66","SALCOBRAND",NA,"ESTACION CENTRAL",-33.451101,-70.679644,"","SALCOBRAND","SALCOBRAND"
"67","67","SALCOBRAND",NA,"HUECHURABA",-33.368062,-70.678301,"","SALCOBRAND","SALCOBRAND"
"68","68","SALCOBRAND",NA,"HUECHURABA",-33.368062,-70.678301,"","SALCOBRAND","SALCOBRAND"
"69","69","AHUMADA",NA,"HUECHURABA",-33.368062,-70.678301,"","AHUMADA","AHUMADA"
"70","70","AHUMADA",NA,"HUECHURABA",-33.351179,-70.670396,"","AHUMADA","AHUMADA"
"71","71","CRUZ VERDE",NA,"HUECHURABA",-33.36799,-70.678378,"","CRUZ VERDE","CRUZ VERDE"
"72","72","CRUZ VERDE",NA,"HUECHURABA",-33.347738,-70.670353,"","CRUZ VERDE","CRUZ VERDE"
"73","73","FARMAVIDA",NA,"HUECHURABA",-33.376326,-70.637787,"","FARMAVIDA","OTRO"
"74","74","SALCOBRAND",NA,"HUECHURABA",-33.348222,-70.670417,"","SALCOBRAND","SALCOBRAND"
"75","75","MEDDICA",NA,"INDEPENDENCIA",-33.41751,-70.656496,"","MEDDICA","OTRO"
"76","76","CRUZ VERDE",NA,"INDEPENDENCIA",-33.406802,-70.660646,"","CRUZ VERDE","CRUZ VERDE"
"77","77","CRUZ VERDE",NA,"INDEPENDENCIA",-33.419606,-70.663331,"","CRUZ VERDE","CRUZ VERDE"
"78","78","CRUZ VERDE",NA,"INDEPENDENCIA",-33.420034,-70.655933,"","CRUZ VERDE","CRUZ VERDE"
"79","79","MAESTRE",NA,"INDEPENDENCIA",-33.414275,-70.678147,"","MAESTRE","OTRO"
"80","80","NOVOA",NA,"INDEPENDENCIA",-33.408777,-70.671801,"","NOVOA","OTRO"
"81","81","SANTA LAURA",NA,"INDEPENDENCIA",-33.405615,-70.660912,"","SANTA LAURA","OTRO"
"82","82","VALLE DE VIDA",NA,"INDEPENDENCIA",-33.407093,-70.660249,"","VALLE DE VIDA","OTRO"
"83","83","ECUANASER",NA,"ISLA DE MAIPO",-33.745037,-70.864777,"","ECUANASER","OTRO"
"84","84","ECUANASER",NA,"ISLA DE MAIPO",-33.754429,-70.90094,"","ECUANASER","OTRO"
"85","85","FARMAMARKET",NA,"ISLA DE MAIPO",-33.756367,-70.896568,"","FARMAMARKET","OTRO"
"86","86","SALCOBRAND",NA,"LA CISTERNA",-33.538005,-70.664369,"","SALCOBRAND","SALCOBRAND"
"87","87","AHUMADA",NA,"LA CISTERNA",-33.538335,-70.663864,"","AHUMADA","AHUMADA"
"88","88","AHUMADA",NA,"LA CISTERNA",-33.52358,-70.660504,"","AHUMADA","AHUMADA"
"89","89","BELEN",NA,"LA CISTERNA",-33.5358487,-70.6640925,"","BELEN","OTRO"
"90","90","CRUZ VERDE",NA,"LA CISTERNA",-33.538403,-70.664446,"","CRUZ VERDE","CRUZ VERDE"
"91","91","DEL DR. SIMI",NA,"LA CISTERNA",-33.5378,-70.663723,"","DEL DR. SIMI","OTRO"
"92","92","DEL DR. SIMI",NA,"LA CISTERNA",-33.527418,-70.661756,"","DEL DR. SIMI","OTRO"
"93","93","MARTINEZ  ACUNA",NA,"LA CISTERNA",-33.54348,-70.666708,"","MARTINEZ  ACUNA","OTRO"
"94","94","SALCOBRAND",NA,"LA CISTERNA",-33.518528,-70.659275,"","SALCOBRAND","SALCOBRAND"
"95","95","MANRIQUEZ",NA,"LA CISTERNA",-33.523955,-70.660611,"","MANRIQUEZ","OTRO"
"96","96","SALCOBRAND",NA,"LA CISTERNA",-33.538229,-70.664881,"","SALCOBRAND","SALCOBRAND"
"97","97","AHUMADA",NA,"LA FLORIDA",-33.511522,-70.590659,"","AHUMADA","AHUMADA"
"98","98","AHUMADA",NA,"LA FLORIDA",-33.5198898591559,-70.595603335968,"","AHUMADA","AHUMADA"
"99","99","AHUMADA",NA,"LA FLORIDA",-33.516006,-70.5976,"","AHUMADA","AHUMADA"
"100","100","AHUMADA",NA,"LA FLORIDA",-33.543243,-70.570288,"","AHUMADA","AHUMADA"
"101","101","AHUMADA",NA,"LA FLORIDA",-33.535917,-70.555482,"","AHUMADA","AHUMADA"
"102","102","AHUMADA",NA,"LA FLORIDA",-33.545723,-70.569232,"","AHUMADA","AHUMADA"
"103","103","AHUMADA",NA,"LA FLORIDA",-33.510377,-70.608662,"","AHUMADA","AHUMADA"
"104","104","AHUMADA",NA,"LA FLORIDA",-33.511162,-70.608098,"","AHUMADA","AHUMADA"
"105","105","AHUMADA",NA,"LA FLORIDA",-33.515655,-70.606581,"","AHUMADA","AHUMADA"
"106","106","AHUMADA",NA,"LA FLORIDA",-33.535135,-70.593341,"","AHUMADA","AHUMADA"
"107","107","AHUMADA",NA,"LA FLORIDA",-33.543827,-70.58935,"","AHUMADA","AHUMADA"
"108","108","AHUMADA",NA,"LA FLORIDA",-33.519608,-70.602804,"","AHUMADA","AHUMADA"
"109","109","AHUMADA",NA,"LA FLORIDA",-33.522524,-70.579158,"","AHUMADA","AHUMADA"
"110","110","BELEN",NA,"LA FLORIDA",-33.522497,-70.574622,"","BELEN","OTRO"
"111","111","C.A.",NA,"LA FLORIDA",-33.539579,-70.603521,"","C.A.","OTRO"
"112","112","CRUZ VERDE",NA,"LA FLORIDA",-33.522077,-70.597461,"","CRUZ VERDE","CRUZ VERDE"
"113","113","CRUZ VERDE",NA,"LA FLORIDA",-33.539606,-70.583173,"","CRUZ VERDE","CRUZ VERDE"
"114","114","CRUZ VERDE",NA,"LA FLORIDA",-33.539997,-70.571672,"","CRUZ VERDE","CRUZ VERDE"
"115","115","CRUZ VERDE",NA,"LA FLORIDA",-33.55396,-70.602718,"","CRUZ VERDE","CRUZ VERDE"
"116","116","CRUZ VERDE",NA,"LA FLORIDA",-33.534741,-70.554336,"","CRUZ VERDE","CRUZ VERDE"
"117","117","CRUZ VERDE",NA,"LA FLORIDA",-33.526927,-70.596404,"","CRUZ VERDE","CRUZ VERDE"
"118","118","CRUZ VERDE",NA,"LA FLORIDA",-33.553512,-70.586767,"","CRUZ VERDE","CRUZ VERDE"
"119","119","CRUZ VERDE",NA,"LA FLORIDA",-33.510715,-70.608632,"","CRUZ VERDE","CRUZ VERDE"
"120","120","CRUZ VERDE",NA,"LA FLORIDA",-33.51926,-70.600275,"","CRUZ VERDE","CRUZ VERDE"
"121","121","CRUZ VERDE",NA,"LA FLORIDA",-33.51926,-70.600275,"","CRUZ VERDE","CRUZ VERDE"
"122","122","CRUZ VERDE",NA,"LA FLORIDA",-33.546543,-70.588089,"","CRUZ VERDE","CRUZ VERDE"
"123","123","CRUZ VERDE",NA,"LA FLORIDA",-33.510449,-70.608448,"","CRUZ VERDE","CRUZ VERDE"
"124","124","CRUZ VERDE",NA,"LA FLORIDA",-33.522345,-70.579265,"","CRUZ VERDE","CRUZ VERDE"
"125","125","DEL DR. SIMI",NA,"LA FLORIDA",-33.521946,-70.579651,"","DEL DR. SIMI","OTRO"
"126","126","FARMA SUR",NA,"LA FLORIDA",-33.560976,-70.610744,"","FARMA SUR","OTRO"
"127","127","JUMBO",NA,"LA FLORIDA",-33.511162,-70.608098,"","JUMBO","OTRO"
"128","128","REDFARMA",NA,"LA FLORIDA",-33.518724,-70.600416,"","REDFARMA","OTRO"
"129","129","REY FARMA",NA,"LA FLORIDA",-33.557606,-70.59041,"","REY FARMA","OTRO"
"130","130","ROSARIO",NA,"LA FLORIDA",-33.535457,-70.603641,"","ROSARIO","OTRO"
"131","131","ROTONDA  LA FLORIDA",NA,"LA FLORIDA",-33.520682,-70.600015,"","ROTONDA  LA FLORIDA","OTRO"
"132","132","SU FARMA",NA,"LA FLORIDA",-33.559242,-70.55976,"","SU FARMA","OTRO"
"133","133","SALCOBRAND",NA,"LA FLORIDA",-33.547833,-70.568365,"","SALCOBRAND","SALCOBRAND"
"134","134","SALCOBRAND",NA,"LA FLORIDA",-33.535564,-70.573944,"","SALCOBRAND","SALCOBRAND"
"135","135","SALCOBRAND",NA,"LA FLORIDA",-33.560726,-70.585402,"","SALCOBRAND","SALCOBRAND"
"136","136","SALCOBRAND",NA,"LA FLORIDA",-33.510688,-70.608514,"","SALCOBRAND","SALCOBRAND"
"137","137","SALCOBRAND",NA,"LA FLORIDA",-33.514212,-70.608076,"","SALCOBRAND","SALCOBRAND"
"138","138","SALCOBRAND",NA,"LA FLORIDA",-33.539481,-70.59156,"","SALCOBRAND","SALCOBRAND"
"139","139","CRUZ VERDE",NA,"LA GRANJA",-33.550386,-70.617838,"","CRUZ VERDE","CRUZ VERDE"
"140","140","LOS PALTOS",NA,"LA GRANJA",-33.549518,-70.625259,"","LOS PALTOS","OTRO"
"141","141","LOS PALTOS",NA,"LA GRANJA",-33.555958,-70.623943,"","LOS PALTOS","OTRO"
"142","142","ESPOZ",NA,"LA GRANJA",-33.541513,-70.634116,"","ESPOZ","OTRO"
"143","143","CORDILLERA",NA,"LA PINTANA",-33.556595,-70.645634,"","CORDILLERA","OTRO"
"144","144","CRUZ VERDE",NA,"LA PINTANA",-33.605702,-70.626815,"","CRUZ VERDE","CRUZ VERDE"
"145","145","FARMA SUR",NA,"LA PINTANA",-33.581962,-70.657895,"","FARMA SUR","OTRO"
"146","146","SUR",NA,"LA PINTANA",-33.556434,-70.645119,"","SUR","OTRO"
"147","147","SALCOBRAND",NA,"LA PINTANA",-33.582752,-70.631836,"","SALCOBRAND","SALCOBRAND"
"148","148","AHUMADA",NA,"LA REINA",-33.428451,-70.540534,"","AHUMADA","AHUMADA"
"149","149","AHUMADA",NA,"LA REINA",-33.462165,-70.547272,"","AHUMADA","AHUMADA"
"150","150","AHUMADA",NA,"LA REINA",-33.430313,-70.555769,"","AHUMADA","AHUMADA"
"151","151","AHUMADA",NA,"LA REINA",-33.438801,-70.557014,"","AHUMADA","AHUMADA"
"152","152","AHUMADA",NA,"LA REINA",-33.452498,-70.561026,"","AHUMADA","AHUMADA"
"153","153","LA REINA",NA,"LA REINA",-33.451793,-70.555594,"","LA REINA","OTRO"
"154","154","SALCOBRAND",NA,"LA REINA",-33.438685,-70.560922,"","SALCOBRAND","SALCOBRAND"
"155","155","SALCOBRAND",NA,"LA REINA",-33.441254,-70.535856,"","SALCOBRAND","SALCOBRAND"
"156","156","AHUMADA",NA,"LA REINA",-33.44052,-70.543281,"","AHUMADA","AHUMADA"
"157","157","CRUZ VERDE",NA,"LA REINA",-33.441344,-70.536114,"","CRUZ VERDE","CRUZ VERDE"
"158","158","CRUZ VERDE",NA,"LO BARNECHEA",-33.356144,-70.51721,"","CRUZ VERDE","CRUZ VERDE"
"159","159","SALCOBRAND",NA,"LA REINA",-33.452677,-70.56197,"","SALCOBRAND","SALCOBRAND"
"160","160","SALCOBRAND",NA,"LA REINA",-33.438908,-70.557142,"","SALCOBRAND","SALCOBRAND"
"161","161","SALCOBRAND",NA,"LA REINA",-33.441182,-70.543302,"","SALCOBRAND","SALCOBRAND"
"162","162","BELEN",NA,"LAMPA",-33.231773,-70.807404,"","BELEN","OTRO"
"163","163","BELEN",NA,"LAMPA",-33.287867,-70.871476,"","BELEN","OTRO"
"164","164","LETICIA",NA,"LAMPA",-33.284891,-70.877341,"","LETICIA","OTRO"
"165","165","SU FARMACIA S.A.",NA,"LAMPA",-33.294326,-70.867519,"","SU FARMACIA S.A.","OTRO"
"166","166","SALCOBRAND",NA,"LAMPA",-33.324002,-70.745991,"","SALCOBRAND","SALCOBRAND"
"167","167","SALCOBRAND",NA,"LAS CONDES",-33.425986,-70.577036,"","SALCOBRAND","SALCOBRAND"
"168","168","SALCOBRAND",NA,"LAS CONDES",-33.416492,-70.595146,"","SALCOBRAND","SALCOBRAND"
"169","169","SALCOBRAND",NA,"LAS CONDES",-33.41278,-70.581016,"","SALCOBRAND","SALCOBRAND"
"170","170","SALCOBRAND",NA,"LAS CONDES",-33.410738,-70.573879,"","SALCOBRAND","SALCOBRAND"
"171","171","SALCOBRAND",NA,"LAS CONDES",-33.409386,-70.569378,"","SALCOBRAND","SALCOBRAND"
"172","172","SALCOBRAND",NA,"LAS CONDES",-33.423788,-70.580627,"","SALCOBRAND","SALCOBRAND"
"173","173","SALCOBRAND",NA,"LAS CONDES",-33.416613,-70.565058,"","SALCOBRAND","SALCOBRAND"
"174","174","SALCOBRAND",NA,"LAS CONDES",-33.418207,-70.552336,"","SALCOBRAND","SALCOBRAND"
"175","175","SALCOBRAND",NA,"LAS CONDES",-33.416469,-70.554331,"","SALCOBRAND","SALCOBRAND"
"176","176","AHUMADA",NA,"LAS CONDES",-33.384242,-70.533968,"","AHUMADA","AHUMADA"
"177","177","AHUMADA",NA,"LAS CONDES",-33.395619,-70.549053,"","AHUMADA","AHUMADA"
"178","178","AHUMADA",NA,"LAS CONDES",-33.401531,-70.56049,"","AHUMADA","AHUMADA"
"179","179","AHUMADA",NA,"LAS CONDES",-33.386052,-70.531178,"","AHUMADA","AHUMADA"
"180","180","AHUMADA",NA,"LAS CONDES",-33.424932,-70.550758,"","AHUMADA","AHUMADA"
"181","181","AHUMADA",NA,"LAS CONDES",-33.400958,-70.514375,"","AHUMADA","AHUMADA"
"182","182","AHUMADA",NA,"LAS CONDES",-33.401253,-70.517153,"","AHUMADA","AHUMADA"
"183","183","AHUMADA",NA,"LAS CONDES",-33.401145,-70.514333,"","AHUMADA","AHUMADA"
"184","184","AHUMADA",NA,"LAS CONDES",-33.41878,-70.572098,"","AHUMADA","AHUMADA"
"185","185","AHUMADA",NA,"LAS CONDES",-33.376502,-70.525642,"","AHUMADA","AHUMADA"
