Id,Label,timeset,farmacia,lat,lng,nombre,comune,poblacion,POBLA,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
38,CRUZ VERDE,,CURACAVI,33.402767,-71.129139,CRUZ VERDE,,,,3,1.110399,1,1,1,0,2,0.001314,3,1,3,0.00106
39,CURACAVI,,CURACAVI,33.40257,-71.129915,CURACAVI,,,,3,1.129162,1,1,1,0,2,0.001314,3,1,3,0.00106
40,EL SOL,,CURACAVI,33.404934,-71.135298,EL SOL,,,,3,0.645683,1,1,1,0,2,0.001314,3,1,3,0.00106
41,AHUMADA,,EL BOSQUE,33.54579,-70.667759,AHUMADA,,,,14,3.312938,15,0.119156,0.154495,2769.709216,20,0.001505,1,0.736264,67,0.015792
42,ALAMEDA,,EL BOSQUE,33.561121,-70.670763,ALAMEDA,,,,9,1.318126,15,0.112812,0.143741,339.301982,20,0.001106,1,0.777778,28,0.009199
43,BELEN,,EL BOSQUE,33.58241,-70.676809,BELEN,,,,7,1.732316,17,0.099926,0.130666,3479.965706,18,0.001116,1,0.619048,13,0.004815
44,BELEN,,EL BOSQUE,33.582698,-70.676898,BELEN,,,,7,1.741055,17,0.099926,0.130666,3479.965706,18,0.001116,1,0.619048,13,0.004815
45,SALUD/CANAIMA,,EL BOSQUE,33.55352,-70.660676,SALUD/CANAIMA,,,,16,2.17343,15,0.122206,0.163591,5651.672271,20,0.001771,1,0.583333,70,0.017071
46,CRUZ VERDE,,EL BOSQUE,33.55402,-70.675009,CRUZ VERDE,,,,10,1.551418,15,0.113,0.145412,152.363866,20,0.001151,1,0.822222,37,0.01111
47,CRUZ VERDE,,EL BOSQUE,33.55014,-70.671941,CRUZ VERDE,,,,14,2.332809,15,0.119156,0.154495,2769.709216,20,0.001505,1,0.736264,67,0.015792
48,CRUZ VERDE,,EL BOSQUE,33.574529,-70.690897,CRUZ VERDE,,,,5,0.72307,17,0.099838,0.128576,3158.849311,18,0.000814,1,0.8,8,0.003877
49,LOS MAQUIS,,EL BOSQUE,33.561361,-70.663524,LOS MAQUIS,,,,10,1.409507,15,0.115345,0.151067,1665.176327,20,0.001282,1,0.577778,26,0.009347
50,SALCOBRAND,,EL BOSQUE,33.545401,-70.668164,SALCOBRAND,,,,14,3.342113,15,0.119156,0.154495,2769.709216,20,0.001505,1,0.736264,67,0.015792
51,AHUMADA,,ESTACION CENTRAL,33.457041,-70.70509,AHUMADA,,,,15,4.077751,15,0.138142,0.180992,49.092798,17,0.001214,1,0.72381,76,0.029213
52,AHUMADA,,ESTACION CENTRAL,33.452695,-70.69151,AHUMADA,,,,21,4.247086,14,0.154865,0.207018,5568.100555,17,0.001426,1,0.661905,139,0.070315
53,BELGO CHILENA,,ESTACION CENTRAL,33.45393,-70.687752,BELGO CHILENA,,,,20,5.104436,14,0.15322,0.201968,771.848646,17,0.001338,1,0.705263,134,0.068786
54,CARRERA,,ESTACION CENTRAL,33.471008,-70.692411,CARRERA,,,,9,0.994786,15,0.136638,0.172058,0.541667,17,0.000792,1,0.888889,32,0.017732
55,CRUZ VERDE,,ESTACION CENTRAL,33.451139,-70.679883,CRUZ VERDE,,,,22,6.517762,14,0.165527,0.223985,5150.836859,17,0.00123,1,0.709957,164,0.183487
56,CRUZ VERDE,,ESTACION CENTRAL,33.453339,-70.687819,CRUZ VERDE,,,,19,5.133123,14,0.153186,0.201231,550.849612,17,0.001264,1,0.74269,127,0.06778
57,CRUZ VERDE,,ESTACION CENTRAL,33.467564,-70.729965,CRUZ VERDE,,,,7,1.297646,16,0.137219,0.185661,28912.605398,17,0.00088,1,0.333333,7,0.007989
58,CRUZ VERDE,,ESTACION CENTRAL,33.453006,-70.680365,CRUZ VERDE,,,,21,6.414089,14,0.164563,0.221084,4520.657456,17,0.001207,1,0.761905,160,0.165006
59,DEL DR. SIMI,,ESTACION CENTRAL,33.454199,-70.692347,DEL DR. SIMI,,,,23,4.289578,14,0.154936,0.208493,6235.185658,17,0.001577,1,0.608696,154,0.072395
60,ELENA,,ESTACION CENTRAL,33.465727,-70.708569,ELENA,,,,11,1.690441,15,0.139794,0.182131,315.671299,17,0.001001,1,0.709091,39,0.018128
61,PURA SALUD,,ESTACION CENTRAL,33.461825,-70.698417,PURA SALUD,,,,19,2.807936,15,0.146849,0.194649,1172.997816,17,0.001383,1,0.637427,109,0.050785
